step,actual_price,forecast_price,residual_error,abs_error,timestamp
37,28.89,27.2896,-1.6004,1.6004,2025-01-09 13:00:00
38,35.11,33.5488,-1.5612,1.5612,2025-01-09 14:00:00
39,37.69,39.8165,2.1265,2.1265,2025-01-09 15:00:00
40,40.11,42.4681,2.3581,2.3581,2025-01-09 16:00:00
41,50.52,52.3779,1.8579,1.8579,2025-01-09 17:00:00
42,86.54,85.3762,-1.1638,1.1638,2025-01-09 18:00:00
43,46.32,47.4004,1.0804,1.0804,2025-01-09 19:00:00
44,46.2,46.9917,0.7917,0.7917,2025-01-09 20:00:00
45,45.11,46.1567,1.0467,1.0467,2025-01-09 21:00:00
46,41.69,44.3686,2.6786,2.6786,2025-01-09 22:00:00
47,42.79,43.849,1.059,1.059,2025-01-09 23:00:00
48,36.79,38.9873,2.1973,2.1973,2025-01-10 00:00:00
49,35.72,36.3889,0.6689,0.6689,2025-01-10 01:00:00
50,32.51,33.7328,1.2228,1.2228,2025-01-10 02:00:00
51,31.34,33.4182,2.0782,2.0782,2025-01-10 03:00:00
52,34.51,31.3671,-3.1429,3.1429,2025-01-10 04:00:00
53,114.54,114.2408,-0.2992,0.2992,2025-01-10 05:00:00
54,26.77,26.0941,-0.6759,0.6759,2025-01-10 06:00:00
55,20.03,18.9328,-1.0972,1.0972,2025-01-10 07:00:00
56,22.54,22.3521,-0.1879,0.1879,2025-01-10 08:00:00
57,26.78,31.0174,4.2374,4.2374,2025-01-10 09:00:00
58,25.22,23.5554,-1.6646,1.6646,2025-01-10 10:00:00
59,23.95,26.8707,2.9207,2.9207,2025-01-10 11:00:00
60,26.93,23.2228,-3.7072,3.7072,2025-01-10 12:00:00
61,32.83,32.4928,-0.3372,0.3372,2025-01-10 13:00:00
62,31.89,32.7969,0.9069,0.9069,2025-01-10 14:00:00
63,36.85,38.8156,1.9656,1.9656,2025-01-10 15:00:00
64,38.83,41.1081,2.2781,2.2781,2025-01-10 16:00:00
65,39.16,41.6434,2.4834,2.4834,2025-01-10 17:00:00
66,47.74,47.3682,-0.3718,0.3718,2025-01-10 18:00:00
67,44.96,44.3041,-0.6559,0.6559,2025-01-10 19:00:00
68,38.66,41.3049,2.6449,2.6449,2025-01-10 20:00:00
69,43.84,43.8617,0.0217,0.0217,2025-01-10 21:00:00
70,40.72,38.0308,-2.6892,2.6892,2025-01-10 22:00:00
71,42.92,40.5868,-2.3332,2.3332,2025-01-10 23:00:00
72,32.64,30.8414,-1.7986,1.7986,2025-01-11 00:00:00
73,31.92,33.6629,1.7429,1.7429,2025-01-11 01:00:00
74,30.88,31.7361,0.8561,0.8561,2025-01-11 02:00:00
75,29.19,31.4162,2.2262,2.2262,2025-01-11 03:00:00
76,21.62,21.0519,-0.5681,0.5681,2025-01-11 04:00:00
77,21.71,22.6063,0.8963,0.8963,2025-01-11 05:00:00
78,19.77,21.834,2.064,2.064,2025-01-11 06:00:00
79,18.33,18.0566,-0.2734,0.2734,2025-01-11 07:00:00
80,24.03,25.6719,1.6419,1.6419,2025-01-11 08:00:00
81,20.97,19.8152,-1.1548,1.1548,2025-01-11 09:00:00
82,17.81,17.4024,-0.4076,0.4076,2025-01-11 10:00:00
83,24.84,24.3857,-0.4543,0.4543,2025-01-11 11:00:00
84,29.92,27.4304,-2.4896,2.4896,2025-01-11 12:00:00
85,29.61,31.3274,1.7174,1.7174,2025-01-11 13:00:00
86,25.82,25.1465,-0.6735,0.6735,2025-01-11 14:00:00
87,31.0,31.5312,0.5312,0.5312,2025-01-11 15:00:00
88,37.79,39.4919,1.7019,1.7019,2025-01-11 16:00:00
89,34.92,36.5363,1.6163,1.6163,2025-01-11 17:00:00
90,39.39,41.5535,2.1635,2.1635,2025-01-11 18:00:00
91,41.21,41.4638,0.2538,0.2538,2025-01-11 19:00:00
92,37.3,36.7418,-0.5582,0.5582,2025-01-11 20:00:00
93,39.13,39.4307,0.3007,0.3007,2025-01-11 21:00:00
94,30.18,26.4617,-3.7183,3.7183,2025-01-11 22:00:00
95,34.13,31.0122,-3.1178,3.1178,2025-01-11 23:00:00
96,33.89,31.0833,-2.8067,2.8067,2025-01-12 00:00:00
97,28.99,26.9969,-1.9931,1.9931,2025-01-12 01:00:00
98,33.6,35.0994,1.4994,1.4994,2025-01-12 02:00:00
99,23.35,21.5863,-1.7637,1.7637,2025-01-12 03:00:00
100,23.42,22.9746,-0.4454,0.4454,2025-01-12 04:00:00
101,22.77,26.5181,3.7481,3.7481,2025-01-12 05:00:00
102,24.46,24.0693,-0.3907,0.3907,2025-01-12 06:00:00
103,16.27,18.6138,2.3438,2.3438,2025-01-12 07:00:00
104,22.43,20.596,-1.834,1.834,2025-01-12 08:00:00
105,19.88,19.8664,-0.0136,0.0136,2025-01-12 09:00:00
106,18.4,16.5249,-1.8751,1.8751,2025-01-12 10:00:00
107,23.6,23.2524,-0.3476,0.3476,2025-01-12 11:00:00
108,25.02,27.6208,2.6008,2.6008,2025-01-12 12:00:00
109,25.43,21.6117,-3.8183,3.8183,2025-01-12 13:00:00
110,29.69,31.2761,1.5861,1.5861,2025-01-12 14:00:00
111,31.14,32.2343,1.0943,1.0943,2025-01-12 15:00:00
112,34.8,33.8146,-0.9854,0.9854,2025-01-12 16:00:00
113,38.24,35.1249,-3.1151,3.1151,2025-01-12 17:00:00
114,42.14,42.8203,0.6803,0.6803,2025-01-12 18:00:00
115,36.08,35.2563,-0.8237,0.8237,2025-01-12 19:00:00
116,44.85,45.9317,1.0817,1.0817,2025-01-12 20:00:00
117,34.3,34.8546,0.5546,0.5546,2025-01-12 21:00:00
118,37.8,42.3044,4.5044,4.5044,2025-01-12 22:00:00
119,38.06,37.9616,-0.0984,0.0984,2025-01-12 23:00:00
120,149.89,147.8313,-2.0587,2.0587,2025-01-13 00:00:00
121,34.45,35.3982,0.9482,0.9482,2025-01-13 01:00:00
122,32.9,33.95,1.05,1.05,2025-01-13 02:00:00
123,29.6,33.498,3.898,3.898,2025-01-13 03:00:00
124,26.94,29.5278,2.5878,2.5878,2025-01-13 04:00:00
125,28.47,29.8622,1.3922,1.3922,2025-01-13 05:00:00
126,25.65,29.8083,4.1583,4.1583,2025-01-13 06:00:00
127,22.03,19.5581,-2.4719,2.4719,2025-01-13 07:00:00
128,25.67,24.5706,-1.0994,1.0994,2025-01-13 08:00:00
129,24.53,22.7136,-1.8164,1.8164,2025-01-13 09:00:00
130,26.79,26.3155,-0.4745,0.4745,2025-01-13 10:00:00
131,27.92,24.9783,-2.9417,2.9417,2025-01-13 11:00:00
132,26.35,28.4379,2.0879,2.0879,2025-01-13 12:00:00
133,29.43,29.3744,-0.0556,0.0556,2025-01-13 13:00:00
134,35.29,32.113,-3.177,3.177,2025-01-13 14:00:00
135,37.53,35.4911,-2.0389,2.0389,2025-01-13 15:00:00
136,38.37,39.6538,1.2838,1.2838,2025-01-13 16:00:00
137,40.78,43.3753,2.5953,2.5953,2025-01-13 17:00:00
138,45.27,50.7618,5.4918,5.4918,2025-01-13 18:00:00
139,41.6,49.3847,7.7847,7.7847,2025-01-13 19:00:00
140,44.79,46.326,1.536,1.536,2025-01-13 20:00:00
141,42.57,40.5962,-1.9738,1.9738,2025-01-13 21:00:00
142,41.53,36.6999,-4.8301,4.8301,2025-01-13 22:00:00
143,43.24,44.4093,1.1693,1.1693,2025-01-13 23:00:00
144,40.38,38.8476,-1.5324,1.5324,2025-01-14 00:00:00
145,37.94,37.4016,-0.5384,0.5384,2025-01-14 01:00:00
146,36.58,35.5498,-1.0302,1.0302,2025-01-14 02:00:00
147,30.78,30.928,0.148,0.148,2025-01-14 03:00:00
148,30.02,33.185,3.165,3.165,2025-01-14 04:00:00
149,25.47,26.3626,0.8926,0.8926,2025-01-14 05:00:00
150,25.47,25.5734,0.1034,0.1034,2025-01-14 06:00:00
151,23.33,21.2409,-2.0891,2.0891,2025-01-14 07:00:00
152,23.56,19.8733,-3.6867,3.6867,2025-01-14 08:00:00
153,25.15,24.4342,-0.7158,0.7158,2025-01-14 09:00:00
154,22.61,22.9755,0.3655,0.3655,2025-01-14 10:00:00
155,31.48,36.3998,4.9198,4.9198,2025-01-14 11:00:00
156,25.8,26.6257,0.8257,0.8257,2025-01-14 12:00:00
157,27.69,30.6468,2.9568,2.9568,2025-01-14 13:00:00
158,36.21,35.4618,-0.7482,0.7482,2025-01-14 14:00:00
159,37.89,35.4276,-2.4624,2.4624,2025-01-14 15:00:00
160,39.88,37.9672,-1.9128,1.9128,2025-01-14 16:00:00
161,41.96,40.6469,-1.3131,1.3131,2025-01-14 17:00:00
162,41.95,47.7712,5.8212,5.8212,2025-01-14 18:00:00
163,40.73,39.1765,-1.5535,1.5535,2025-01-14 19:00:00
164,43.51,46.1062,2.5962,2.5962,2025-01-14 20:00:00
165,41.28,39.5227,-1.7573,1.7573,2025-01-14 21:00:00
166,44.42,47.2489,2.8289,2.8289,2025-01-14 22:00:00
167,40.02,41.4824,1.4624,1.4624,2025-01-14 23:00:00
168,36.16,36.2684,0.1084,0.1084,2025-01-15 00:00:00
169,126.87,127.2681,0.3981,0.3981,2025-01-15 01:00:00
170,34.25,33.113,-1.137,1.137,2025-01-15 02:00:00
171,29.22,30.8352,1.6152,1.6152,2025-01-15 03:00:00
172,26.16,25.5225,-0.6375,0.6375,2025-01-15 04:00:00
173,26.76,24.196,-2.564,2.564,2025-01-15 05:00:00
174,25.17,22.4752,-2.6948,2.6948,2025-01-15 06:00:00
175,22.29,23.2215,0.9315,0.9315,2025-01-15 07:00:00
176,22.04,26.4877,4.4477,4.4477,2025-01-15 08:00:00
177,24.14,25.04,0.9,0.9,2025-01-15 09:00:00
178,20.94,21.1434,0.2034,0.2034,2025-01-15 10:00:00
179,22.63,23.8446,1.2146,1.2146,2025-01-15 11:00:00
180,26.42,30.185,3.765,3.765,2025-01-15 12:00:00
181,30.1,31.1485,1.0485,1.0485,2025-01-15 13:00:00
182,34.0,33.4727,-0.5273,0.5273,2025-01-15 14:00:00
183,39.5,42.7657,3.2657,3.2657,2025-01-15 15:00:00
184,40.36,41.9319,1.5719,1.5719,2025-01-15 16:00:00
185,39.89,44.2294,4.3394,4.3394,2025-01-15 17:00:00
186,41.83,42.7881,0.9581,0.9581,2025-01-15 18:00:00
187,40.37,37.8088,-2.5612,2.5612,2025-01-15 19:00:00
188,43.17,40.2496,-2.9204,2.9204,2025-01-15 20:00:00
189,42.16,46.7873,4.6273,4.6273,2025-01-15 21:00:00
190,42.69,47.4992,4.8092,4.8092,2025-01-15 22:00:00
191,38.22,38.2712,0.0512,0.0512,2025-01-15 23:00:00
192,39.42,38.962,-0.458,0.458,2025-01-16 00:00:00
193,39.54,43.6936,4.1536,4.1536,2025-01-16 01:00:00
194,32.85,30.5824,-2.2676,2.2676,2025-01-16 02:00:00
195,31.54,29.8032,-1.7368,1.7368,2025-01-16 03:00:00
196,29.85,31.9583,2.1083,2.1083,2025-01-16 04:00:00
197,25.05,24.5635,-0.4865,0.4865,2025-01-16 05:00:00
198,25.02,25.5072,0.4872,0.4872,2025-01-16 06:00:00
199,23.49,23.5814,0.0914,0.0914,2025-01-16 07:00:00
200,23.37,24.7139,1.3439,1.3439,2025-01-16 08:00:00
201,21.53,25.5487,4.0187,4.0187,2025-01-16 09:00:00
202,24.52,25.2465,0.7265,0.7265,2025-01-16 10:00:00
203,27.3,29.4098,2.1098,2.1098,2025-01-16 11:00:00
204,31.75,27.1246,-4.6254,4.6254,2025-01-16 12:00:00
205,32.93,33.3082,0.3782,0.3782,2025-01-16 13:00:00
206,38.5,36.8919,-1.6081,1.6081,2025-01-16 14:00:00
207,33.79,31.243,-2.547,2.547,2025-01-16 15:00:00
208,40.3,38.6046,-1.6954,1.6954,2025-01-16 16:00:00
209,40.65,40.3147,-0.3353,0.3353,2025-01-16 17:00:00
210,47.26,50.0498,2.7898,2.7898,2025-01-16 18:00:00
211,40.76,37.944,-2.816,2.816,2025-01-16 19:00:00
212,41.02,41.5966,0.5766,0.5766,2025-01-16 20:00:00
213,41.28,40.5696,-0.7104,0.7104,2025-01-16 21:00:00
214,36.47,36.1508,-0.3192,0.3192,2025-01-16 22:00:00
215,38.88,41.8869,3.0069,3.0069,2025-01-16 23:00:00
216,36.13,37.9753,1.8453,1.8453,2025-01-17 00:00:00
217,35.99,39.8335,3.8435,3.8435,2025-01-17 01:00:00
218,33.88,33.9937,0.1137,0.1137,2025-01-17 02:00:00
219,35.13,33.8901,-1.2399,1.2399,2025-01-17 03:00:00
220,30.4,30.3404,-0.0596,0.0596,2025-01-17 04:00:00
221,24.51,25.6162,1.1062,1.1062,2025-01-17 05:00:00
222,22.12,23.0614,0.9414,0.9414,2025-01-17 06:00:00
223,24.59,22.379,-2.211,2.211,2025-01-17 07:00:00
224,19.72,20.4462,0.7262,0.7262,2025-01-17 08:00:00
225,27.94,29.0106,1.0706,1.0706,2025-01-17 09:00:00
226,27.31,34.1037,6.7937,6.7937,2025-01-17 10:00:00
227,24.78,29.9721,5.1921,5.1921,2025-01-17 11:00:00
228,23.74,22.1069,-1.6331,1.6331,2025-01-17 12:00:00
229,33.82,33.6015,-0.2185,0.2185,2025-01-17 13:00:00
230,32.74,29.5814,-3.1586,3.1586,2025-01-17 14:00:00
231,38.71,37.7332,-0.9768,0.9768,2025-01-17 15:00:00
232,34.04,35.329,1.289,1.289,2025-01-17 16:00:00
233,38.6,42.1146,3.5146,3.5146,2025-01-17 17:00:00
234,41.7,40.3773,-1.3227,1.3227,2025-01-17 18:00:00
235,121.7,120.5646,-1.1354,1.1354,2025-01-17 19:00:00
236,41.9,37.0318,-4.8682,4.8682,2025-01-17 20:00:00
237,44.24,44.3333,0.0933,0.0933,2025-01-17 21:00:00
238,39.01,36.854,-2.156,2.156,2025-01-17 22:00:00
239,39.74,38.9164,-0.8236,0.8236,2025-01-17 23:00:00
240,34.23,32.5378,-1.6922,1.6922,2025-01-18 00:00:00
241,32.8,33.0643,0.2643,0.2643,2025-01-18 01:00:00
242,30.71,26.8157,-3.8943,3.8943,2025-01-18 02:00:00
243,23.53,20.3624,-3.1676,3.1676,2025-01-18 03:00:00
244,80.87,86.6931,5.8231,5.8231,2025-01-18 04:00:00
245,25.05,22.3314,-2.7186,2.7186,2025-01-18 05:00:00
246,21.1,18.858,-2.242,2.242,2025-01-18 06:00:00
247,17.4,22.4923,5.0923,5.0923,2025-01-18 07:00:00
248,22.8,30.5627,7.7627,7.7627,2025-01-18 08:00:00
249,19.56,17.1311,-2.4289,2.4289,2025-01-18 09:00:00
250,23.21,22.7894,-0.4206,0.4206,2025-01-18 10:00:00
251,22.02,23.3739,1.3539,1.3539,2025-01-18 11:00:00
252,29.08,33.9017,4.8217,4.8217,2025-01-18 12:00:00
253,30.73,28.7629,-1.9671,1.9671,2025-01-18 13:00:00
254,28.3,28.1868,-0.1132,0.1132,2025-01-18 14:00:00
255,33.94,36.3833,2.4433,2.4433,2025-01-18 15:00:00
256,35.54,37.1269,1.5869,1.5869,2025-01-18 16:00:00
257,39.42,38.9796,-0.4404,0.4404,2025-01-18 17:00:00
258,35.17,35.3354,0.1654,0.1654,2025-01-18 18:00:00
259,40.3,37.3628,-2.9372,2.9372,2025-01-18 19:00:00
260,41.57,41.4746,-0.0954,0.0954,2025-01-18 20:00:00
261,34.19,34.024,-0.166,0.166,2025-01-18 21:00:00
262,34.63,35.7104,1.0804,1.0804,2025-01-18 22:00:00
263,30.9,30.0117,-0.8883,0.8883,2025-01-18 23:00:00
264,33.16,34.8388,1.6788,1.6788,2025-01-19 00:00:00
265,33.21,36.2418,3.0318,3.0318,2025-01-19 01:00:00
266,32.59,33.4786,0.8886,0.8886,2025-01-19 02:00:00
267,26.43,27.8094,1.3794,1.3794,2025-01-19 03:00:00
268,27.9,28.5329,0.6329,0.6329,2025-01-19 04:00:00
269,18.31,18.8102,0.5002,0.5002,2025-01-19 05:00:00
270,15.91,14.6061,-1.3039,1.3039,2025-01-19 06:00:00
271,19.03,20.3212,1.2912,1.2912,2025-01-19 07:00:00
272,19.79,20.0468,0.2568,0.2568,2025-01-19 08:00:00
273,19.09,24.8229,5.7329,5.7329,2025-01-19 09:00:00
274,15.0,19.4334,4.4334,4.4334,2025-01-19 10:00:00
275,21.54,23.0046,1.4646,1.4646,2025-01-19 11:00:00
276,20.57,19.1624,-1.4076,1.4076,2025-01-19 12:00:00
277,27.92,25.639,-2.281,2.281,2025-01-19 13:00:00
278,29.75,33.2279,3.4779,3.4779,2025-01-19 14:00:00
279,112.62,113.7769,1.1569,1.1569,2025-01-19 15:00:00
280,32.55,34.2504,1.7004,1.7004,2025-01-19 16:00:00
281,33.25,29.3885,-3.8615,3.8615,2025-01-19 17:00:00
282,37.33,40.1486,2.8186,2.8186,2025-01-19 18:00:00
283,40.88,42.5161,1.6361,1.6361,2025-01-19 19:00:00
284,36.37,34.0939,-2.2761,2.2761,2025-01-19 20:00:00
285,39.75,39.0712,-0.6788,0.6788,2025-01-19 21:00:00
286,36.16,37.3193,1.1593,1.1593,2025-01-19 22:00:00
287,33.92,34.5512,0.6312,0.6312,2025-01-19 23:00:00
288,37.47,37.2396,-0.2304,0.2304,2025-01-20 00:00:00
289,32.73,32.9713,0.2413,0.2413,2025-01-20 01:00:00
290,31.35,31.2201,-0.1299,0.1299,2025-01-20 02:00:00
291,27.15,28.0314,0.8814,0.8814,2025-01-20 03:00:00
292,32.65,36.8287,4.1787,4.1787,2025-01-20 04:00:00
293,25.75,19.8334,-5.9166,5.9166,2025-01-20 05:00:00
294,22.32,22.2279,-0.0921,0.0921,2025-01-20 06:00:00
295,23.61,24.5513,0.9413,0.9413,2025-01-20 07:00:00
296,22.45,23.69,1.24,1.24,2025-01-20 08:00:00
297,22.52,22.0902,-0.4298,0.4298,2025-01-20 09:00:00
298,25.61,21.7182,-3.8918,3.8918,2025-01-20 10:00:00
299,27.56,28.88,1.32,1.32,2025-01-20 11:00:00
300,26.41,31.2284,4.8184,4.8184,2025-01-20 12:00:00
301,28.71,25.3753,-3.3347,3.3347,2025-01-20 13:00:00
302,32.05,34.7096,2.6596,2.6596,2025-01-20 14:00:00
303,29.57,29.2487,-0.3213,0.3213,2025-01-20 15:00:00
304,33.95,34.2967,0.3467,0.3467,2025-01-20 16:00:00
305,43.22,41.0878,-2.1322,2.1322,2025-01-20 17:00:00
306,45.51,45.1739,-0.3361,0.3361,2025-01-20 18:00:00
307,41.77,45.5201,3.7501,3.7501,2025-01-20 19:00:00
308,44.18,46.1366,1.9566,1.9566,2025-01-20 20:00:00
309,43.17,48.0008,4.8308,4.8308,2025-01-20 21:00:00
310,49.09,52.5335,3.4435,3.4435,2025-01-20 22:00:00
311,42.6,44.1977,1.5977,1.5977,2025-01-20 23:00:00
312,37.32,42.1798,4.8598,4.8598,2025-01-21 00:00:00
313,32.84,34.4375,1.5975,1.5975,2025-01-21 01:00:00
314,28.62,31.19,2.57,2.57,2025-01-21 02:00:00
315,30.56,30.3186,-0.2414,0.2414,2025-01-21 03:00:00
316,25.75,26.4164,0.6664,0.6664,2025-01-21 04:00:00
317,22.01,20.7664,-1.2436,1.2436,2025-01-21 05:00:00
318,4.24,7.214,2.974,2.974,2025-01-21 06:00:00
319,20.28,17.8342,-2.4458,2.4458,2025-01-21 07:00:00
320,26.86,29.3159,2.4559,2.4559,2025-01-21 08:00:00
321,25.18,25.2034,0.0234,0.0234,2025-01-21 09:00:00
322,23.96,27.3881,3.4281,3.4281,2025-01-21 10:00:00
323,29.27,31.6472,2.3772,2.3772,2025-01-21 11:00:00
324,27.83,32.8816,5.0516,5.0516,2025-01-21 12:00:00
325,27.9,30.2269,2.3269,2.3269,2025-01-21 13:00:00
326,36.45,33.0199,-3.4301,3.4301,2025-01-21 14:00:00
327,36.57,36.9026,0.3326,0.3326,2025-01-21 15:00:00
328,132.48,130.05,-2.43,2.43,2025-01-21 16:00:00
329,39.23,38.4343,-0.7957,0.7957,2025-01-21 17:00:00
330,39.11,43.3881,4.2781,4.2781,2025-01-21 18:00:00
331,38.84,40.9338,2.0938,2.0938,2025-01-21 19:00:00
332,44.95,43.7027,-1.2473,1.2473,2025-01-21 20:00:00
333,80.55,78.5157,-2.0343,2.0343,2025-01-21 21:00:00
334,37.8,38.382,0.582,0.582,2025-01-21 22:00:00
335,41.12,38.5786,-2.5414,2.5414,2025-01-21 23:00:00
336,127.16,125.9821,-1.1779,1.1779,2025-01-22 00:00:00
337,33.91,35.19,1.28,1.28,2025-01-22 01:00:00
338,31.06,34.4483,3.3883,3.3883,2025-01-22 02:00:00
339,27.8,29.8219,2.0219,2.0219,2025-01-22 03:00:00
340,27.67,22.4418,-5.2282,5.2282,2025-01-22 04:00:00
341,23.4,24.6609,1.2609,1.2609,2025-01-22 05:00:00
342,24.56,25.2401,0.6801,0.6801,2025-01-22 06:00:00
343,22.76,24.2947,1.5347,1.5347,2025-01-22 07:00:00
344,21.95,26.4905,4.5405,4.5405,2025-01-22 08:00:00
345,20.62,15.9619,-4.6581,4.6581,2025-01-22 09:00:00
346,22.44,21.4622,-0.9778,0.9778,2025-01-22 10:00:00
347,27.36,29.3373,1.9773,1.9773,2025-01-22 11:00:00
348,-3.29,0.0,3.29,3.29,2025-01-22 12:00:00
349,27.51,31.6999,4.1899,4.1899,2025-01-22 13:00:00
350,32.79,34.2109,1.4209,1.4209,2025-01-22 14:00:00
351,37.01,39.6265,2.6165,2.6165,2025-01-22 15:00:00
352,33.37,32.4426,-0.9274,0.9274,2025-01-22 16:00:00
353,40.97,43.5044,2.5344,2.5344,2025-01-22 17:00:00
354,39.55,42.7212,3.1712,3.1712,2025-01-22 18:00:00
355,43.63,44.7122,1.0822,1.0822,2025-01-22 19:00:00
356,40.64,41.726,1.086,1.086,2025-01-22 20:00:00
357,37.69,38.8659,1.1759,1.1759,2025-01-22 21:00:00
358,37.14,35.4816,-1.6584,1.6584,2025-01-22 22:00:00
359,39.74,39.8712,0.1312,0.1312,2025-01-22 23:00:00
360,38.1,38.2187,0.1187,0.1187,2025-01-23 00:00:00
361,32.78,34.2385,1.4585,1.4585,2025-01-23 01:00:00
362,34.05,37.0496,2.9996,2.9996,2025-01-23 02:00:00
363,25.71,23.5637,-2.1463,2.1463,2025-01-23 03:00:00
364,27.28,27.4675,0.1875,0.1875,2025-01-23 04:00:00
365,22.35,26.5536,4.2036,4.2036,2025-01-23 05:00:00
366,22.16,20.801,-1.359,1.359,2025-01-23 06:00:00
367,22.91,21.3544,-1.5556,1.5556,2025-01-23 07:00:00
368,20.3,21.3058,1.0058,1.0058,2025-01-23 08:00:00
369,21.83,24.441,2.611,2.611,2025-01-23 09:00:00
370,26.31,26.8386,0.5286,0.5286,2025-01-23 10:00:00
371,23.94,27.7624,3.8224,3.8224,2025-01-23 11:00:00
372,29.54,32.182,2.642,2.642,2025-01-23 12:00:00
373,27.04,29.6446,2.6046,2.6046,2025-01-23 13:00:00
374,33.77,35.6553,1.8853,1.8853,2025-01-23 14:00:00
375,38.64,44.9591,6.3191,6.3191,2025-01-23 15:00:00
376,31.27,31.2571,-0.0129,0.0129,2025-01-23 16:00:00
377,37.53,33.0212,-4.5088,4.5088,2025-01-23 17:00:00
378,42.55,47.0606,4.5106,4.5106,2025-01-23 18:00:00
379,41.6,40.9558,-0.6442,0.6442,2025-01-23 19:00:00
380,43.38,44.1497,0.7697,0.7697,2025-01-23 20:00:00
381,40.6,44.3739,3.7739,3.7739,2025-01-23 21:00:00
382,41.33,37.8244,-3.5056,3.5056,2025-01-23 22:00:00
383,39.13,36.5009,-2.6291,2.6291,2025-01-23 23:00:00
384,40.28,36.7768,-3.5032,3.5032,2025-01-24 00:00:00
385,35.58,34.0947,-1.4853,1.4853,2025-01-24 01:00:00
386,33.2,34.7991,1.5991,1.5991,2025-01-24 02:00:00
387,28.74,30.5505,1.8105,1.8105,2025-01-24 03:00:00
388,26.14,27.3307,1.1907,1.1907,2025-01-24 04:00:00
389,24.2,21.1681,-3.0319,3.0319,2025-01-24 05:00:00
390,24.68,19.4047,-5.2753,5.2753,2025-01-24 06:00:00
391,21.65,22.2859,0.6359,0.6359,2025-01-24 07:00:00
392,23.08,22.4006,-0.6794,0.6794,2025-01-24 08:00:00
393,27.89,29.5385,1.6485,1.6485,2025-01-24 09:00:00
394,25.87,28.1249,2.2549,2.2549,2025-01-24 10:00:00
395,24.47,25.3156,0.8456,0.8456,2025-01-24 11:00:00
396,30.36,32.7603,2.4003,2.4003,2025-01-24 12:00:00
397,28.75,29.823,1.073,1.073,2025-01-24 13:00:00
398,-5.89,0.0,5.89,5.89,2025-01-24 14:00:00
399,32.42,31.1583,-1.2617,1.2617,2025-01-24 15:00:00
400,32.68,32.731,0.051,0.051,2025-01-24 16:00:00
401,38.55,39.5419,0.9919,0.9919,2025-01-24 17:00:00
402,41.06,43.6113,2.5513,2.5513,2025-01-24 18:00:00
403,46.21,45.7256,-0.4844,0.4844,2025-01-24 19:00:00
404,43.17,44.9729,1.8029,1.8029,2025-01-24 20:00:00
405,41.47,41.3054,-0.1646,0.1646,2025-01-24 21:00:00
406,43.09,43.2961,0.2061,0.2061,2025-01-24 22:00:00
407,33.9,36.4738,2.5738,2.5738,2025-01-24 23:00:00
