timestamp,actual_price,forecast_price,residual_usd,residual_usd_per_mwh,absolute_error_usd,absolute_error_usd_per_mwh,hour_of_day,hour
2025-01-09 08:00:00+00:00,24.71,23.93,-0.78,-0.78,0.78,0.78,8,8
2025-01-09 09:00:00+00:00,25.56,24.03,-1.53,-1.53,1.53,1.53,9,9
2025-01-09 10:00:00+00:00,27.87,29.91,2.04,2.04,2.04,2.04,10,10
2025-01-09 11:00:00+00:00,29.38,32.7,3.32,3.32,3.32,3.32,11,11
2025-01-09 12:00:00+00:00,25.38,25.6,0.22,0.22,0.22,0.22,12,12
2025-01-09 13:00:00+00:00,28.89,27.29,-1.6,-1.6,1.6,1.6,13,13
2025-01-09 14:00:00+00:00,35.11,33.55,-1.56,-1.56,1.56,1.56,14,14
2025-01-09 15:00:00+00:00,37.69,39.82,2.13,2.13,2.13,2.13,15,15
2025-01-09 16:00:00+00:00,40.11,42.47,2.36,2.36,2.36,2.36,16,16
2025-01-09 17:00:00+00:00,50.52,52.38,1.86,1.86,1.86,1.86,17,17
2025-01-09 18:00:00+00:00,86.54,85.38,-1.16,-1.16,1.16,1.16,18,18
2025-01-09 19:00:00+00:00,46.32,47.4,1.08,1.08,1.08,1.08,19,19
2025-01-09 20:00:00+00:00,46.2,46.99,0.79,0.79,0.79,0.79,20,20
2025-01-09 21:00:00+00:00,45.11,46.16,1.05,1.05,1.05,1.05,21,21
2025-01-09 22:00:00+00:00,41.69,44.37,2.68,2.68,2.68,2.68,22,22
2025-01-09 23:00:00+00:00,42.79,43.85,1.06,1.06,1.06,1.06,23,23
2025-01-10 00:00:00+00:00,36.79,38.99,2.2,2.2,2.2,2.2,0,0
2025-01-10 01:00:00+00:00,35.72,36.39,0.67,0.67,0.67,0.67,1,1
2025-01-10 02:00:00+00:00,32.51,33.73,1.22,1.22,1.22,1.22,2,2
2025-01-10 03:00:00+00:00,31.34,33.42,2.08,2.08,2.08,2.08,3,3
2025-01-10 04:00:00+00:00,34.51,31.37,-3.14,-3.14,3.14,3.14,4,4
2025-01-10 05:00:00+00:00,114.54,114.24,-0.3,-0.3,0.3,0.3,5,5
2025-01-10 06:00:00+00:00,26.77,26.09,-0.68,-0.68,0.68,0.68,6,6
2025-01-10 07:00:00+00:00,20.03,18.93,-1.1,-1.1,1.1,1.1,7,7
2025-01-10 08:00:00+00:00,22.54,22.35,-0.19,-0.19,0.19,0.19,8,8
2025-01-10 09:00:00+00:00,26.78,31.02,4.24,4.24,4.24,4.24,9,9
2025-01-10 10:00:00+00:00,25.22,23.56,-1.66,-1.66,1.66,1.66,10,10
2025-01-10 11:00:00+00:00,23.95,26.87,2.92,2.92,2.92,2.92,11,11
2025-01-10 12:00:00+00:00,26.93,23.22,-3.71,-3.71,3.71,3.71,12,12
2025-01-10 13:00:00+00:00,32.83,32.49,-0.34,-0.34,0.34,0.34,13,13
2025-01-10 14:00:00+00:00,31.89,32.8,0.91,0.91,0.91,0.91,14,14
2025-01-10 15:00:00+00:00,36.85,38.82,1.97,1.97,1.97,1.97,15,15
2025-01-10 16:00:00+00:00,38.83,41.11,2.28,2.28,2.28,2.28,16,16
2025-01-10 17:00:00+00:00,39.16,41.64,2.48,2.48,2.48,2.48,17,17
2025-01-10 18:00:00+00:00,47.74,47.37,-0.37,-0.37,0.37,0.37,18,18
2025-01-10 19:00:00+00:00,44.96,44.3,-0.66,-0.66,0.66,0.66,19,19
2025-01-10 20:00:00+00:00,38.66,41.3,2.64,2.64,2.64,2.64,20,20
2025-01-10 21:00:00+00:00,43.84,43.86,0.02,0.02,0.02,0.02,21,21
2025-01-10 22:00:00+00:00,40.72,38.03,-2.69,-2.69,2.69,2.69,22,22
2025-01-10 23:00:00+00:00,42.92,40.59,-2.33,-2.33,2.33,2.33,23,23
2025-01-11 00:00:00+00:00,32.64,30.84,-1.8,-1.8,1.8,1.8,0,0
2025-01-11 01:00:00+00:00,31.92,33.66,1.74,1.74,1.74,1.74,1,1
2025-01-11 02:00:00+00:00,30.88,31.74,0.86,0.86,0.86,0.86,2,2
2025-01-11 03:00:00+00:00,29.19,31.42,2.23,2.23,2.23,2.23,3,3
2025-01-11 04:00:00+00:00,21.62,21.05,-0.57,-0.57,0.57,0.57,4,4
2025-01-11 05:00:00+00:00,21.71,22.61,0.9,0.9,0.9,0.9,5,5
2025-01-11 06:00:00+00:00,19.77,21.83,2.06,2.06,2.06,2.06,6,6
2025-01-11 07:00:00+00:00,18.33,18.06,-0.27,-0.27,0.27,0.27,7,7
2025-01-11 08:00:00+00:00,24.03,25.67,1.64,1.64,1.64,1.64,8,8
2025-01-11 09:00:00+00:00,20.97,19.82,-1.15,-1.15,1.15,1.15,9,9
2025-01-11 10:00:00+00:00,17.81,17.4,-0.41,-0.41,0.41,0.41,10,10
2025-01-11 11:00:00+00:00,24.84,24.39,-0.45,-0.45,0.45,0.45,11,11
2025-01-11 12:00:00+00:00,29.92,27.43,-2.49,-2.49,2.49,2.49,12,12
2025-01-11 13:00:00+00:00,29.61,31.33,1.72,1.72,1.72,1.72,13,13
2025-01-11 14:00:00+00:00,25.82,25.15,-0.67,-0.67,0.67,0.67,14,14
2025-01-11 15:00:00+00:00,31.0,31.53,0.53,0.53,0.53,0.53,15,15
2025-01-11 16:00:00+00:00,37.79,39.49,1.7,1.7,1.7,1.7,16,16
2025-01-11 17:00:00+00:00,34.92,36.54,1.62,1.62,1.62,1.62,17,17
2025-01-11 18:00:00+00:00,39.39,41.55,2.16,2.16,2.16,2.16,18,18
2025-01-11 19:00:00+00:00,41.21,41.46,0.25,0.25,0.25,0.25,19,19
2025-01-11 20:00:00+00:00,37.3,36.74,-0.56,-0.56,0.56,0.56,20,20
2025-01-11 21:00:00+00:00,39.13,39.43,0.3,0.3,0.3,0.3,21,21
2025-01-11 22:00:00+00:00,30.18,26.46,-3.72,-3.72,3.72,3.72,22,22
2025-01-11 23:00:00+00:00,34.13,31.01,-3.12,-3.12,3.12,3.12,23,23
2025-01-12 00:00:00+00:00,33.89,31.08,-2.81,-2.81,2.81,2.81,0,0
2025-01-12 01:00:00+00:00,28.99,27.0,-1.99,-1.99,1.99,1.99,1,1
2025-01-12 02:00:00+00:00,33.6,35.1,1.5,1.5,1.5,1.5,2,2
2025-01-12 03:00:00+00:00,23.35,21.59,-1.76,-1.76,1.76,1.76,3,3
2025-01-12 04:00:00+00:00,23.42,22.97,-0.45,-0.45,0.45,0.45,4,4
2025-01-12 05:00:00+00:00,22.77,26.52,3.75,3.75,3.75,3.75,5,5
2025-01-12 06:00:00+00:00,24.46,24.07,-0.39,-0.39,0.39,0.39,6,6
2025-01-12 07:00:00+00:00,16.27,18.61,2.34,2.34,2.34,2.34,7,7
2025-01-12 08:00:00+00:00,22.43,20.6,-1.83,-1.83,1.83,1.83,8,8
2025-01-12 09:00:00+00:00,19.88,19.87,-0.01,-0.01,0.01,0.01,9,9
2025-01-12 10:00:00+00:00,18.4,16.52,-1.88,-1.88,1.88,1.88,10,10
2025-01-12 11:00:00+00:00,23.6,23.25,-0.35,-0.35,0.35,0.35,11,11
2025-01-12 12:00:00+00:00,25.02,27.62,2.6,2.6,2.6,2.6,12,12
2025-01-12 13:00:00+00:00,25.43,21.61,-3.82,-3.82,3.82,3.82,13,13
2025-01-12 14:00:00+00:00,29.69,31.28,1.59,1.59,1.59,1.59,14,14
2025-01-12 15:00:00+00:00,31.14,32.23,1.09,1.09,1.09,1.09,15,15
2025-01-12 16:00:00+00:00,34.8,33.81,-0.99,-0.99,0.99,0.99,16,16
2025-01-12 17:00:00+00:00,38.24,35.12,-3.12,-3.12,3.12,3.12,17,17
2025-01-12 18:00:00+00:00,42.14,42.82,0.68,0.68,0.68,0.68,18,18
2025-01-12 19:00:00+00:00,36.08,35.26,-0.82,-0.82,0.82,0.82,19,19
2025-01-12 20:00:00+00:00,44.85,45.93,1.08,1.08,1.08,1.08,20,20
2025-01-12 21:00:00+00:00,34.3,34.85,0.55,0.55,0.55,0.55,21,21
2025-01-12 22:00:00+00:00,37.8,42.3,4.5,4.5,4.5,4.5,22,22
2025-01-12 23:00:00+00:00,38.06,37.96,-0.1,-0.1,0.1,0.1,23,23
2025-01-13 00:00:00+00:00,149.89,147.83,-2.06,-2.06,2.06,2.06,0,0
2025-01-13 01:00:00+00:00,34.45,35.4,0.95,0.95,0.95,0.95,1,1
2025-01-13 02:00:00+00:00,32.9,33.95,1.05,1.05,1.05,1.05,2,2
2025-01-13 03:00:00+00:00,29.6,33.5,3.9,3.9,3.9,3.9,3,3
2025-01-13 04:00:00+00:00,26.94,29.53,2.59,2.59,2.59,2.59,4,4
2025-01-13 05:00:00+00:00,28.47,29.86,1.39,1.39,1.39,1.39,5,5
2025-01-13 06:00:00+00:00,25.65,29.81,4.16,4.16,4.16,4.16,6,6
2025-01-13 07:00:00+00:00,22.03,19.56,-2.47,-2.47,2.47,2.47,7,7
2025-01-13 08:00:00+00:00,25.67,24.57,-1.1,-1.1,1.1,1.1,8,8
2025-01-13 09:00:00+00:00,24.53,22.71,-1.82,-1.82,1.82,1.82,9,9
2025-01-13 10:00:00+00:00,26.79,26.32,-0.47,-0.47,0.47,0.47,10,10
2025-01-13 11:00:00+00:00,27.92,24.98,-2.94,-2.94,2.94,2.94,11,11
2025-01-13 12:00:00+00:00,26.35,28.44,2.09,2.09,2.09,2.09,12,12
2025-01-13 13:00:00+00:00,29.43,29.37,-0.06,-0.06,0.06,0.06,13,13
2025-01-13 14:00:00+00:00,35.29,32.11,-3.18,-3.18,3.18,3.18,14,14
2025-01-13 15:00:00+00:00,37.53,35.49,-2.04,-2.04,2.04,2.04,15,15
2025-01-13 16:00:00+00:00,38.37,39.65,1.28,1.28,1.28,1.28,16,16
2025-01-13 17:00:00+00:00,40.78,43.38,2.6,2.6,2.6,2.6,17,17
2025-01-13 18:00:00+00:00,45.27,50.76,5.49,5.49,5.49,5.49,18,18
2025-01-13 19:00:00+00:00,41.6,49.38,7.78,7.78,7.78,7.78,19,19
2025-01-13 20:00:00+00:00,44.79,46.33,1.54,1.54,1.54,1.54,20,20
2025-01-13 21:00:00+00:00,42.57,40.6,-1.97,-1.97,1.97,1.97,21,21
2025-01-13 22:00:00+00:00,41.53,36.7,-4.83,-4.83,4.83,4.83,22,22
2025-01-13 23:00:00+00:00,43.24,44.41,1.17,1.17,1.17,1.17,23,23
2025-01-14 00:00:00+00:00,40.38,38.85,-1.53,-1.53,1.53,1.53,0,0
2025-01-14 01:00:00+00:00,37.94,37.4,-0.54,-0.54,0.54,0.54,1,1
2025-01-14 02:00:00+00:00,36.58,35.55,-1.03,-1.03,1.03,1.03,2,2
2025-01-14 03:00:00+00:00,30.78,30.93,0.15,0.15,0.15,0.15,3,3
2025-01-14 04:00:00+00:00,30.02,33.18,3.16,3.16,3.16,3.16,4,4
2025-01-14 05:00:00+00:00,25.47,26.36,0.89,0.89,0.89,0.89,5,5
2025-01-14 06:00:00+00:00,25.47,25.57,0.1,0.1,0.1,0.1,6,6
2025-01-14 07:00:00+00:00,23.33,21.24,-2.09,-2.09,2.09,2.09,7,7
2025-01-14 08:00:00+00:00,23.56,19.87,-3.69,-3.69,3.69,3.69,8,8
2025-01-14 09:00:00+00:00,25.15,24.43,-0.72,-0.72,0.72,0.72,9,9
2025-01-14 10:00:00+00:00,22.61,22.98,0.37,0.37,0.37,0.37,10,10
2025-01-14 11:00:00+00:00,31.48,36.4,4.92,4.92,4.92,4.92,11,11
2025-01-14 12:00:00+00:00,25.8,26.63,0.83,0.83,0.83,0.83,12,12
2025-01-14 13:00:00+00:00,27.69,30.65,2.96,2.96,2.96,2.96,13,13
2025-01-14 14:00:00+00:00,36.21,35.46,-0.75,-0.75,0.75,0.75,14,14
2025-01-14 15:00:00+00:00,37.89,35.43,-2.46,-2.46,2.46,2.46,15,15
2025-01-14 16:00:00+00:00,39.88,37.97,-1.91,-1.91,1.91,1.91,16,16
2025-01-14 17:00:00+00:00,41.96,40.65,-1.31,-1.31,1.31,1.31,17,17
2025-01-14 18:00:00+00:00,41.95,47.77,5.82,5.82,5.82,5.82,18,18
2025-01-14 19:00:00+00:00,40.73,39.18,-1.55,-1.55,1.55,1.55,19,19
2025-01-14 20:00:00+00:00,43.51,46.11,2.6,2.6,2.6,2.6,20,20
2025-01-14 21:00:00+00:00,41.28,39.52,-1.76,-1.76,1.76,1.76,21,21
2025-01-14 22:00:00+00:00,44.42,47.25,2.83,2.83,2.83,2.83,22,22
2025-01-14 23:00:00+00:00,40.02,41.48,1.46,1.46,1.46,1.46,23,23
2025-01-15 00:00:00+00:00,36.16,36.27,0.11,0.11,0.11,0.11,0,0
2025-01-15 01:00:00+00:00,126.87,127.27,0.4,0.4,0.4,0.4,1,1
2025-01-15 02:00:00+00:00,34.25,33.11,-1.14,-1.14,1.14,1.14,2,2
2025-01-15 03:00:00+00:00,29.22,30.84,1.62,1.62,1.62,1.62,3,3
2025-01-15 04:00:00+00:00,26.16,25.52,-0.64,-0.64,0.64,0.64,4,4
2025-01-15 05:00:00+00:00,26.76,24.2,-2.56,-2.56,2.56,2.56,5,5
2025-01-15 06:00:00+00:00,25.17,22.48,-2.69,-2.69,2.69,2.69,6,6
2025-01-15 07:00:00+00:00,22.29,23.22,0.93,0.93,0.93,0.93,7,7
2025-01-15 08:00:00+00:00,22.04,26.49,4.45,4.45,4.45,4.45,8,8
2025-01-15 09:00:00+00:00,24.14,25.04,0.9,0.9,0.9,0.9,9,9
2025-01-15 10:00:00+00:00,20.94,21.14,0.2,0.2,0.2,0.2,10,10
2025-01-15 11:00:00+00:00,22.63,23.84,1.21,1.21,1.21,1.21,11,11
2025-01-15 12:00:00+00:00,26.42,30.19,3.77,3.77,3.77,3.77,12,12
2025-01-15 13:00:00+00:00,30.1,31.15,1.05,1.05,1.05,1.05,13,13
2025-01-15 14:00:00+00:00,34.0,33.47,-0.53,-0.53,0.53,0.53,14,14
2025-01-15 15:00:00+00:00,39.5,42.77,3.27,3.27,3.27,3.27,15,15
2025-01-15 16:00:00+00:00,40.36,41.93,1.57,1.57,1.57,1.57,16,16
2025-01-15 17:00:00+00:00,39.89,44.23,4.34,4.34,4.34,4.34,17,17
2025-01-15 18:00:00+00:00,41.83,42.79,0.96,0.96,0.96,0.96,18,18
2025-01-15 19:00:00+00:00,40.37,37.81,-2.56,-2.56,2.56,2.56,19,19
2025-01-15 20:00:00+00:00,43.17,40.25,-2.92,-2.92,2.92,2.92,20,20
2025-01-15 21:00:00+00:00,42.16,46.79,4.63,4.63,4.63,4.63,21,21
2025-01-15 22:00:00+00:00,42.69,47.5,4.81,4.81,4.81,4.81,22,22
2025-01-15 23:00:00+00:00,38.22,38.27,0.05,0.05,0.05,0.05,23,23
2025-01-16 00:00:00+00:00,39.42,38.96,-0.46,-0.46,0.46,0.46,0,0
2025-01-16 01:00:00+00:00,39.54,43.69,4.15,4.15,4.15,4.15,1,1
2025-01-16 02:00:00+00:00,32.85,30.58,-2.27,-2.27,2.27,2.27,2,2
2025-01-16 03:00:00+00:00,31.54,29.8,-1.74,-1.74,1.74,1.74,3,3
2025-01-16 04:00:00+00:00,29.85,31.96,2.11,2.11,2.11,2.11,4,4
2025-01-16 05:00:00+00:00,25.05,24.56,-0.49,-0.49,0.49,0.49,5,5
2025-01-16 06:00:00+00:00,25.02,25.51,0.49,0.49,0.49,0.49,6,6
2025-01-16 07:00:00+00:00,23.49,23.58,0.09,0.09,0.09,0.09,7,7
2025-01-16 08:00:00+00:00,23.37,24.71,1.34,1.34,1.34,1.34,8,8
2025-01-16 09:00:00+00:00,21.53,25.55,4.02,4.02,4.02,4.02,9,9
2025-01-16 10:00:00+00:00,24.52,25.25,0.73,0.73,0.73,0.73,10,10
2025-01-16 11:00:00+00:00,27.3,29.41,2.11,2.11,2.11,2.11,11,11
2025-01-16 12:00:00+00:00,31.75,27.12,-4.63,-4.63,4.63,4.63,12,12
2025-01-16 13:00:00+00:00,32.93,33.31,0.38,0.38,0.38,0.38,13,13
2025-01-16 14:00:00+00:00,38.5,36.89,-1.61,-1.61,1.61,1.61,14,14
2025-01-16 15:00:00+00:00,33.79,31.24,-2.55,-2.55,2.55,2.55,15,15
2025-01-16 16:00:00+00:00,40.3,38.6,-1.7,-1.7,1.7,1.7,16,16
2025-01-16 17:00:00+00:00,40.65,40.31,-0.34,-0.34,0.34,0.34,17,17
2025-01-16 18:00:00+00:00,47.26,50.05,2.79,2.79,2.79,2.79,18,18
2025-01-16 19:00:00+00:00,40.76,37.94,-2.82,-2.82,2.82,2.82,19,19
2025-01-16 20:00:00+00:00,41.02,41.6,0.58,0.58,0.58,0.58,20,20
2025-01-16 21:00:00+00:00,41.28,40.57,-0.71,-0.71,0.71,0.71,21,21
2025-01-16 22:00:00+00:00,36.47,36.15,-0.32,-0.32,0.32,0.32,22,22
2025-01-16 23:00:00+00:00,38.88,41.89,3.01,3.01,3.01,3.01,23,23
2025-01-17 00:00:00+00:00,36.13,37.98,1.85,1.85,1.85,1.85,0,0
2025-01-17 01:00:00+00:00,35.99,39.83,3.84,3.84,3.84,3.84,1,1
2025-01-17 02:00:00+00:00,33.88,33.99,0.11,0.11,0.11,0.11,2,2
2025-01-17 03:00:00+00:00,35.13,33.89,-1.24,-1.24,1.24,1.24,3,3
2025-01-17 04:00:00+00:00,30.4,30.34,-0.06,-0.06,0.06,0.06,4,4
2025-01-17 05:00:00+00:00,24.51,25.62,1.11,1.11,1.11,1.11,5,5
2025-01-17 06:00:00+00:00,22.12,23.06,0.94,0.94,0.94,0.94,6,6
2025-01-17 07:00:00+00:00,24.59,22.38,-2.21,-2.21,2.21,2.21,7,7
2025-01-17 08:00:00+00:00,19.72,20.45,0.73,0.73,0.73,0.73,8,8
2025-01-17 09:00:00+00:00,27.94,29.01,1.07,1.07,1.07,1.07,9,9
2025-01-17 10:00:00+00:00,27.31,34.1,6.79,6.79,6.79,6.79,10,10
2025-01-17 11:00:00+00:00,24.78,29.97,5.19,5.19,5.19,5.19,11,11
2025-01-17 12:00:00+00:00,23.74,22.11,-1.63,-1.63,1.63,1.63,12,12
2025-01-17 13:00:00+00:00,33.82,33.6,-0.22,-0.22,0.22,0.22,13,13
2025-01-17 14:00:00+00:00,32.74,29.58,-3.16,-3.16,3.16,3.16,14,14
2025-01-17 15:00:00+00:00,38.71,37.73,-0.98,-0.98,0.98,0.98,15,15
2025-01-17 16:00:00+00:00,34.04,35.33,1.29,1.29,1.29,1.29,16,16
2025-01-17 17:00:00+00:00,38.6,42.11,3.51,3.51,3.51,3.51,17,17
2025-01-17 18:00:00+00:00,41.7,40.38,-1.32,-1.32,1.32,1.32,18,18
2025-01-17 19:00:00+00:00,121.7,120.56,-1.14,-1.14,1.14,1.14,19,19
2025-01-17 20:00:00+00:00,41.9,37.03,-4.87,-4.87,4.87,4.87,20,20
2025-01-17 21:00:00+00:00,44.24,44.33,0.09,0.09,0.09,0.09,21,21
2025-01-17 22:00:00+00:00,39.01,36.85,-2.16,-2.16,2.16,2.16,22,22
2025-01-17 23:00:00+00:00,39.74,38.92,-0.82,-0.82,0.82,0.82,23,23
2025-01-18 00:00:00+00:00,34.23,32.54,-1.69,-1.69,1.69,1.69,0,0
2025-01-18 01:00:00+00:00,32.8,33.06,0.26,0.26,0.26,0.26,1,1
2025-01-18 02:00:00+00:00,30.71,26.82,-3.89,-3.89,3.89,3.89,2,2
2025-01-18 03:00:00+00:00,23.53,20.36,-3.17,-3.17,3.17,3.17,3,3
2025-01-18 04:00:00+00:00,80.87,86.69,5.82,5.82,5.82,5.82,4,4
2025-01-18 05:00:00+00:00,25.05,22.33,-2.72,-2.72,2.72,2.72,5,5
2025-01-18 06:00:00+00:00,21.1,18.86,-2.24,-2.24,2.24,2.24,6,6
2025-01-18 07:00:00+00:00,17.4,22.49,5.09,5.09,5.09,5.09,7,7
2025-01-18 08:00:00+00:00,22.8,30.56,7.76,7.76,7.76,7.76,8,8
2025-01-18 09:00:00+00:00,19.56,17.13,-2.43,-2.43,2.43,2.43,9,9
2025-01-18 10:00:00+00:00,23.21,22.79,-0.42,-0.42,0.42,0.42,10,10
2025-01-18 11:00:00+00:00,22.02,23.37,1.35,1.35,1.35,1.35,11,11
2025-01-18 12:00:00+00:00,29.08,33.9,4.82,4.82,4.82,4.82,12,12
2025-01-18 13:00:00+00:00,30.73,28.76,-1.97,-1.97,1.97,1.97,13,13
2025-01-18 14:00:00+00:00,28.3,28.19,-0.11,-0.11,0.11,0.11,14,14
2025-01-18 15:00:00+00:00,33.94,36.38,2.44,2.44,2.44,2.44,15,15
2025-01-18 16:00:00+00:00,35.54,37.13,1.59,1.59,1.59,1.59,16,16
2025-01-18 17:00:00+00:00,39.42,38.98,-0.44,-0.44,0.44,0.44,17,17
2025-01-18 18:00:00+00:00,35.17,35.34,0.17,0.17,0.17,0.17,18,18
2025-01-18 19:00:00+00:00,40.3,37.36,-2.94,-2.94,2.94,2.94,19,19
2025-01-18 20:00:00+00:00,41.57,41.47,-0.1,-0.1,0.1,0.1,20,20
2025-01-18 21:00:00+00:00,34.19,34.02,-0.17,-0.17,0.17,0.17,21,21
2025-01-18 22:00:00+00:00,34.63,35.71,1.08,1.08,1.08,1.08,22,22
2025-01-18 23:00:00+00:00,30.9,30.01,-0.89,-0.89,0.89,0.89,23,23
2025-01-19 00:00:00+00:00,33.16,34.84,1.68,1.68,1.68,1.68,0,0
2025-01-19 01:00:00+00:00,33.21,36.24,3.03,3.03,3.03,3.03,1,1
2025-01-19 02:00:00+00:00,32.59,33.48,0.89,0.89,0.89,0.89,2,2
2025-01-19 03:00:00+00:00,26.43,27.81,1.38,1.38,1.38,1.38,3,3
2025-01-19 04:00:00+00:00,27.9,28.53,0.63,0.63,0.63,0.63,4,4
2025-01-19 05:00:00+00:00,18.31,18.81,0.5,0.5,0.5,0.5,5,5
2025-01-19 06:00:00+00:00,15.91,14.61,-1.3,-1.3,1.3,1.3,6,6
2025-01-19 07:00:00+00:00,19.03,20.32,1.29,1.29,1.29,1.29,7,7
2025-01-19 08:00:00+00:00,19.79,20.05,0.26,0.26,0.26,0.26,8,8
2025-01-19 09:00:00+00:00,19.09,24.82,5.73,5.73,5.73,5.73,9,9
2025-01-19 10:00:00+00:00,15.0,19.43,4.43,4.43,4.43,4.43,10,10
2025-01-19 11:00:00+00:00,21.54,23.0,1.46,1.46,1.46,1.46,11,11
2025-01-19 12:00:00+00:00,20.57,19.16,-1.41,-1.41,1.41,1.41,12,12
2025-01-19 13:00:00+00:00,27.92,25.64,-2.28,-2.28,2.28,2.28,13,13
2025-01-19 14:00:00+00:00,29.75,33.23,3.48,3.48,3.48,3.48,14,14
2025-01-19 15:00:00+00:00,112.62,113.78,1.16,1.16,1.16,1.16,15,15
2025-01-19 16:00:00+00:00,32.55,34.25,1.7,1.7,1.7,1.7,16,16
2025-01-19 17:00:00+00:00,33.25,29.39,-3.86,-3.86,3.86,3.86,17,17
2025-01-19 18:00:00+00:00,37.33,40.15,2.82,2.82,2.82,2.82,18,18
2025-01-19 19:00:00+00:00,40.88,42.52,1.64,1.64,1.64,1.64,19,19
2025-01-19 20:00:00+00:00,36.37,34.09,-2.28,-2.28,2.28,2.28,20,20
2025-01-19 21:00:00+00:00,39.75,39.07,-0.68,-0.68,0.68,0.68,21,21
2025-01-19 22:00:00+00:00,36.16,37.32,1.16,1.16,1.16,1.16,22,22
2025-01-19 23:00:00+00:00,33.92,34.55,0.63,0.63,0.63,0.63,23,23
2025-01-20 00:00:00+00:00,37.47,37.24,-0.23,-0.23,0.23,0.23,0,0
2025-01-20 01:00:00+00:00,32.73,32.97,0.24,0.24,0.24,0.24,1,1
2025-01-20 02:00:00+00:00,31.35,31.22,-0.13,-0.13,0.13,0.13,2,2
2025-01-20 03:00:00+00:00,27.15,28.03,0.88,0.88,0.88,0.88,3,3
2025-01-20 04:00:00+00:00,32.65,36.83,4.18,4.18,4.18,4.18,4,4
2025-01-20 05:00:00+00:00,25.75,19.83,-5.92,-5.92,5.92,5.92,5,5
2025-01-20 06:00:00+00:00,22.32,22.23,-0.09,-0.09,0.09,0.09,6,6
2025-01-20 07:00:00+00:00,23.61,24.55,0.94,0.94,0.94,0.94,7,7
2025-01-20 08:00:00+00:00,22.45,23.69,1.24,1.24,1.24,1.24,8,8
2025-01-20 09:00:00+00:00,22.52,22.09,-0.43,-0.43,0.43,0.43,9,9
2025-01-20 10:00:00+00:00,25.61,21.72,-3.89,-3.89,3.89,3.89,10,10
2025-01-20 11:00:00+00:00,27.56,28.88,1.32,1.32,1.32,1.32,11,11
2025-01-20 12:00:00+00:00,26.41,31.23,4.82,4.82,4.82,4.82,12,12
2025-01-20 13:00:00+00:00,28.71,25.38,-3.33,-3.33,3.33,3.33,13,13
