date,gross_revenue_usd,energy_charged_mwh,energy_discharged_mwh,throughput_mwh,efc,avg_charge_price,avg_discharge_price,realized_spread,theoretical_max_spread,spread_capture_pct
2025-09-05,3755.08,42.11,88.0,130.11,0.651,17.37,47.27,29.9,104.06,28.73
2025-09-06,2205.59,0.0,50.0,50.0,0.25,0.0,42.04,42.04,136.78,0.0
2025-09-07,2459.92,0.0,50.0,50.0,0.25,0.0,40.75,40.75,23.96,0.0
2025-09-08,3426.41,42.11,88.0,130.11,0.651,31.83,48.85,17.02,28.51,59.7
2025-09-09,2617.9,0.0,50.0,50.0,0.25,0.0,51.58,51.58,93.8,0.0
2025-09-10,2606.0,0.0,50.0,50.0,0.25,0.0,44.01,44.01,22.22,0.0
2025-09-11,3248.31,42.11,88.0,130.11,0.651,34.0,49.03,15.03,22.52,66.75
2025-09-12,3706.97,42.11,88.0,130.11,0.651,33.76,91.65,57.89,100.26,57.74
2025-09-13,2428.45,0.0,50.0,50.0,0.25,0.0,45.57,45.57,140.61,0.0
2025-09-14,2480.88,0.0,50.0,50.0,0.25,0.0,43.51,43.51,23.43,0.0
2025-09-15,3331.35,42.11,88.0,130.11,0.651,28.16,69.34,41.18,72.91,56.48
2025-09-16,3593.14,42.11,88.0,130.11,0.651,32.29,76.9,44.61,91.96,48.51
2025-09-17,2648.59,0.0,50.0,50.0,0.25,0.0,133.78,133.78,120.11,0.0
2025-09-18,3270.24,42.11,88.0,130.11,0.651,33.59,49.18,15.59,27.78,56.11
2025-09-19,2343.42,0.0,50.0,50.0,0.25,0.0,49.74,49.74,92.46,0.0
2025-09-20,2216.19,0.0,50.0,50.0,0.25,0.0,47.04,47.04,24.29,0.0
2025-09-21,4006.44,42.11,88.0,130.11,0.651,30.04,81.85,51.81,104.31,49.67
2025-09-22,5719.3,42.11,88.0,130.11,0.651,31.22,86.56,55.34,111.29,49.73
2025-09-23,3635.85,42.11,88.0,130.11,0.651,31.7,49.06,17.36,30.56,56.82
2025-09-24,3418.51,42.11,88.0,130.11,0.651,30.07,51.05,20.98,26.98,77.77
2025-09-25,3617.92,42.11,88.0,130.11,0.651,33.56,44.96,11.4,26.62,42.81
2025-09-26,3294.71,42.11,88.0,130.11,0.651,26.25,46.72,20.47,65.21,31.39
2025-09-27,3044.03,42.11,88.0,130.11,0.651,23.98,43.2,19.22,25.61,75.05
2025-09-28,3458.31,42.11,88.0,130.11,0.651,28.01,42.74,14.73,26.25,56.11
2025-09-29,3274.41,0.0,50.0,50.0,0.25,0.0,112.36,112.36,91.74,0.0
2025-09-30,3119.68,0.0,50.0,50.0,0.25,0.0,50.96,50.96,86.4,0.0
2025-10-01,2363.07,0.0,50.0,50.0,0.25,0.0,50.95,50.95,26.11,0.0
2025-10-02,4685.03,50.0,95.12,145.12,0.726,0.32,50.72,50.4,95.72,52.65
2025-10-03,2345.72,0.0,50.0,50.0,0.25,0.0,47.95,47.95,24.95,0.0
2025-10-04,3317.69,42.11,88.0,130.11,0.651,24.39,65.76,41.37,86.57,47.78
2025-10-05,4847.29,55.4,100.0,155.4,0.777,33.84,96.91,63.07,127.65,49.41
2025-10-06,2426.49,0.0,50.0,50.0,0.25,0.0,45.32,45.32,21.86,0.0
2025-10-07,3440.98,42.11,88.0,130.11,0.651,30.31,50.84,20.53,27.23,75.38
2025-10-08,5293.31,55.4,100.0,155.4,0.777,34.49,102.36,67.88,132.17,51.36
2025-10-09,2743.05,0.0,50.0,50.0,0.25,0.0,48.67,48.67,27.52,0.0
2025-10-10,2260.97,0.0,50.0,50.0,0.25,0.0,46.81,46.81,26.64,0.0
2025-10-11,3325.46,42.11,88.0,130.11,0.651,30.27,42.99,12.72,73.47,17.32
2025-10-12,3136.85,42.11,88.0,130.11,0.651,24.43,42.75,18.32,24.72,74.09
2025-10-13,3438.02,42.11,88.0,130.11,0.651,28.66,50.33,21.67,26.42,82.02
2025-10-14,3291.98,42.11,88.0,130.11,0.651,28.75,30.88,2.13,31.66,6.71
2025-10-15,4623.19,0.0,50.0,50.0,0.25,0.0,124.94,124.94,96.66,0.0
2025-10-16,2808.24,0.0,50.0,50.0,0.25,0.0,48.99,48.99,23.02,0.0
2025-10-17,3279.89,42.11,88.0,130.11,0.651,26.2,51.46,25.26,107.15,23.58
2025-10-18,4175.3,55.4,100.0,155.4,0.777,31.61,87.9,56.29,108.42,51.92
2025-10-19,3193.73,42.11,88.0,130.11,0.651,28.99,47.08,18.09,22.92,78.91
2025-10-20,3307.76,42.11,88.0,130.11,0.651,35.15,48.37,13.22,22.26,59.38
2025-10-21,3335.29,42.11,88.0,130.11,0.651,26.17,46.63,20.46,128.29,15.95
2025-10-22,2603.8,0.0,50.0,50.0,0.25,0.0,47.19,47.19,99.93,0.0
2025-10-23,2313.09,0.0,50.0,50.0,0.25,0.0,46.79,46.79,117.62,0.0
2025-10-24,2490.7,0.0,50.0,50.0,0.25,0.0,49.05,49.05,25.39,0.0
2025-10-25,2623.73,0.0,50.0,50.0,0.25,0.0,45.3,45.3,69.92,0.0
2025-10-26,3421.16,42.11,88.0,130.11,0.651,26.53,44.08,17.55,22.9,76.62
2025-10-27,2679.51,0.0,50.0,50.0,0.25,0.0,3.68,3.68,49.7,0.0
2025-10-28,4216.44,0.0,50.0,50.0,0.25,0.0,55.1,55.1,157.58,0.0
