date,daily_net_pnl_usd,cumulative_pnl_usd,high_water_mark_usd,drawdown_usd,is_drawdown
2025-08-31,3458.3,548522.72,548522.72,0.0,False
2025-09-01,1880.19,550402.91,550402.91,0.0,False
2025-09-02,2421.42,552824.32,552824.32,0.0,False
2025-09-03,1890.96,554715.28,554715.28,0.0,False
2025-09-04,2779.81,557495.09,557495.09,0.0,False
2025-09-05,2983.64,560478.73,560478.73,0.0,False
2025-09-06,1646.8,562125.53,562125.53,0.0,False
2025-09-07,1901.13,564026.66,564026.66,0.0,False
2025-09-08,2668.54,566695.2,566695.2,0.0,False
2025-09-09,2059.11,568754.31,568754.31,0.0,False
2025-09-10,2047.21,570801.52,570801.52,0.0,False
2025-09-11,2490.44,573291.96,573291.96,0.0,False
2025-09-12,2942.62,576234.58,576234.58,0.0,False
2025-09-13,1869.66,578104.25,578104.25,0.0,False
2025-09-14,1922.08,580026.33,580026.33,0.0,False
2025-09-15,2573.48,582599.81,582599.81,0.0,False
2025-09-16,2777.01,585376.82,585376.82,0.0,False
2025-09-17,2089.8,587466.62,587466.62,0.0,False
2025-09-18,2491.1,589957.71,589957.71,0.0,False
2025-09-19,1784.63,591742.34,591742.34,0.0,False
2025-09-20,1657.4,593399.74,593399.74,0.0,False
2025-09-21,3248.57,596648.32,596648.32,0.0,False
2025-09-22,4961.43,601609.74,601609.74,0.0,False
2025-09-23,2856.71,604466.46,604466.46,0.0,False
2025-09-24,2654.16,607120.62,607120.62,0.0,False
2025-09-25,2853.57,609974.19,609974.19,0.0,False
2025-09-26,2523.27,612497.46,612497.46,0.0,False
2025-09-27,2286.16,614783.62,614783.62,0.0,False
2025-09-28,2700.44,617484.06,617484.06,0.0,False
2025-09-29,2715.62,620199.68,620199.68,0.0,False
2025-09-30,2560.89,622760.56,622760.56,0.0,False
2025-10-01,1804.28,624564.85,624564.85,0.0,False
2025-10-02,3848.91,628413.76,628413.76,0.0,False
2025-10-03,1786.93,630200.69,630200.69,0.0,False
2025-10-04,2521.29,632721.98,632721.98,0.0,False
2025-10-05,3976.28,636698.26,636698.26,0.0,False
2025-10-06,1867.7,638565.96,638565.96,0.0,False
2025-10-07,2676.63,641242.59,641242.59,0.0,False
2025-10-08,4417.25,645659.84,645659.84,0.0,False
2025-10-09,2184.26,647844.09,647844.09,0.0,False
2025-10-10,1702.18,649546.28,649546.28,0.0,False
2025-10-11,2578.68,652124.96,652124.96,0.0,False
2025-10-12,2372.5,654497.46,654497.46,0.0,False
2025-10-13,2680.15,657177.61,657177.61,0.0,False
2025-10-14,2520.54,659698.15,659698.15,0.0,False
2025-10-15,4064.4,663762.55,663762.55,0.0,False
2025-10-16,2249.45,666012.0,666012.0,0.0,False
2025-10-17,2492.43,668504.43,668504.43,0.0,False
2025-10-18,3321.61,671826.04,671826.04,0.0,False
2025-10-19,2435.86,674261.91,674261.91,0.0,False
2025-10-20,2543.41,676805.31,676805.31,0.0,False
2025-10-21,2538.89,679344.2,679344.2,0.0,False
2025-10-22,2045.01,681389.21,681389.21,0.0,False
2025-10-23,1754.3,683143.51,683143.51,0.0,False
2025-10-24,1931.91,685075.42,685075.42,0.0,False
2025-10-25,2064.94,687140.36,687140.36,0.0,False
2025-10-26,2669.14,689809.5,689809.5,0.0,False
2025-10-27,2120.72,691930.22,691930.22,0.0,False
2025-10-28,3657.65,695587.87,695587.87,0.0,False
2025-10-29,2486.25,698074.12,698074.12,0.0,False
2025-10-30,1999.71,700073.83,700073.83,0.0,False
2025-10-31,2585.37,702659.2,702659.2,0.0,False
2025-11-01,2823.16,705482.36,705482.36,0.0,False
2025-11-02,2023.74,707506.1,707506.1,0.0,False
2025-11-03,2338.56,709844.66,709844.66,0.0,False
2025-11-04,2573.71,712418.38,712418.38,0.0,False
2025-11-05,2014.46,714432.84,714432.84,0.0,False
2025-11-06,3341.77,717774.61,717774.61,0.0,False
2025-11-07,2963.36,720737.96,720737.96,0.0,False
2025-11-08,2920.33,723658.3,723658.3,0.0,False
2025-11-09,2136.76,725795.06,725795.06,0.0,False
2025-11-10,2777.77,728572.83,728572.83,0.0,False
2025-11-11,3073.94,731646.78,731646.78,0.0,False
2025-11-12,3406.01,735052.79,735052.79,0.0,False
2025-11-13,3011.44,738064.22,738064.22,0.0,False
2025-11-14,2828.97,740893.19,740893.19,0.0,False
2025-11-15,1731.52,742624.72,742624.72,0.0,False
2025-11-16,2856.83,745481.55,745481.55,0.0,False
2025-11-17,1941.42,747422.96,747422.96,0.0,False
2025-11-18,2735.35,750158.31,750158.31,0.0,False
2025-11-19,2764.57,752922.89,752922.89,0.0,False
2025-11-20,2051.26,754974.14,754974.14,0.0,False
2025-11-21,2455.28,757429.42,757429.42,0.0,False
2025-11-22,1798.87,759228.29,759228.29,0.0,False
2025-11-23,1559.84,760788.12,760788.12,0.0,False
2025-11-24,2667.62,763455.74,763455.74,0.0,False
2025-11-25,2071.39,765527.13,765527.13,0.0,False
2025-11-26,1871.07,767398.2,767398.2,0.0,False
2025-11-27,2684.43,770082.63,770082.63,0.0,False
2025-11-28,1875.24,771957.88,771957.88,0.0,False
2025-11-29,2025.57,773983.45,773983.45,0.0,False
2025-11-30,1624.0,775607.45,775607.45,0.0,False
2025-12-01,1796.3,777403.75,777403.75,0.0,False
2025-12-02,3165.89,780569.63,780569.63,0.0,False
2025-12-03,2074.25,782643.88,782643.88,0.0,False
2025-12-04,3124.82,785768.7,785768.7,0.0,False
2025-12-05,3097.25,788865.95,788865.95,0.0,False
2025-12-06,4033.53,792899.48,792899.48,0.0,False
2025-12-07,1777.78,794677.26,794677.26,0.0,False
2025-12-08,2016.41,796693.66,796693.66,0.0,False
2025-12-09,2098.86,798792.52,798792.52,0.0,False
2025-12-10,2210.68,801003.19,801003.19,0.0,False
2025-12-11,2742.12,803745.31,803745.31,0.0,False
2025-12-12,2886.95,806632.26,806632.26,0.0,False
2025-12-13,1907.65,808539.91,808539.91,0.0,False
2025-12-14,3797.54,812337.46,812337.46,0.0,False
2025-12-15,1927.68,814265.13,814265.13,0.0,False
2025-12-16,1776.56,816041.7,816041.7,0.0,False
2025-12-17,3188.75,819230.45,819230.45,0.0,False
2025-12-18,2768.56,821999.01,821999.01,0.0,False
2025-12-19,1725.27,823724.28,823724.28,0.0,False
2025-12-20,1945.04,825669.32,825669.32,0.0,False
2025-12-21,2044.91,827714.23,827714.23,0.0,False
2025-12-22,2399.68,830113.91,830113.91,0.0,False
2025-12-23,2371.18,832485.09,832485.09,0.0,False
2025-12-24,1986.78,834471.88,834471.88,0.0,False
2025-12-25,1957.02,836428.9,836428.9,0.0,False
2025-12-26,2337.74,838766.64,838766.64,0.0,False
2025-12-27,2450.93,841217.57,841217.57,0.0,False
2025-12-28,2874.33,844091.9,844091.9,0.0,False
2025-12-29,2178.42,846270.32,846270.32,0.0,False
2025-12-30,2062.68,848333.0,848333.0,0.0,False
